iter	Passed	Remaining
0	194	194726
1	204	101970
2	232	77397
3	261	65228
4	291	57929
5	303	50222
6	313	44433
7	330	40975
8	348	38389
9	377	37387
10	405	36470
11	416	34293
12	431	32739
13	453	31939
14	470	30891
15	500	30788
16	521	30137
17	530	28921
18	563	29076
19	581	28487
20	609	28421
21	630	28037
22	640	27198
23	673	27386
24	702	27386
25	719	26970
26	740	26674
27	750	26043
28	765	25614
29	812	26271
30	847	26476
31	860	26031
32	883	25899
33	912	25938
34	942	25994
35	956	25623
36	966	25154
37	977	24747
38	993	24481
39	1009	24239
40	1072	25080
41	1084	24727
42	1120	24941
43	1138	24733
44	1180	25062
45	1192	24734
46	1203	24409
47	1217	24143
48	1228	23847
49	1247	23711
50	1282	23869
51	1301	23732
52	1317	23546
53	1335	23389
54	1354	23278
55	1375	23189
56	1393	23055
57	1407	22854
58	1420	22650
59	1439	22552
60	1452	22360
61	1469	22233
62	1530	22759
63	1586	23198
64	1602	23057
65	1624	22994
66	1650	22983
67	1662	22791
68	1676	22617
69	1695	22530
70	1710	22385
71	1735	22369
72	1770	22477
73	1790	22402
74	1815	22395
75	1842	22403
76	1855	22237
77	1867	22070
78	1886	21992
79	1899	21839
80	1910	21679
81	1928	21594
82	1949	21535
83	1968	21461
84	1981	21333
85	2005	21313
86	2023	21237
87	2045	21199
88	2060	21093
89	2076	20997
90	2091	20891
91	2111	20841
92	2135	20831
93	2161	20833
94	2185	20817
95	2197	20695
96	2211	20587
97	2233	20554
98	2255	20531
99	2273	20460
100	2294	20426
101	2309	20335
102	2320	20207
103	2337	20142
104	2370	20204
105	2382	20097
106	2424	20234
107	2466	20374
108	2490	20357
109	2500	20235
110	2512	20118
111	2532	20080
112	2543	19967
113	2559	19893
114	2587	19912
115	2604	19847
116	2619	19767
117	2632	19678
118	2651	19627
119	2674	19613
120	2706	19662
121	2733	19675
122	2746	19581
123	2767	19549
124	2779	19457
125	2799	19419
126	2830	19457
127	2849	19413
128	2867	19360
129	2886	19318
130	2903	19263
131	2917	19182
132	2948	19219
133	2960	19135
134	2973	19049
135	2987	18982
136	3000	18898
137	3018	18855
138	3048	18884
139	3078	18910
140	3143	19148
141	3160	19095
142	3187	19105
143	3202	19035
144	3225	19016
145	3239	18950
146	3273	18992
147	3317	19100
148	3342	19089
149	3353	19001
150	3363	18913
151	3376	18837
152	3397	18810
153	3422	18803
154	3456	18844
155	3476	18808
156	3494	18763
157	3511	18710
158	3531	18679
159	3546	18620
160	3570	18604
161	3586	18553
162	3600	18489
163	3616	18432
164	3633	18387
165	3651	18344
166	3685	18382
167	3701	18330
168	3716	18275
169	3735	18239
170	3753	18198
171	3783	18215
172	3803	18180
173	3815	18113
174	3832	18068
175	3853	18039
176	3866	17976
177	3899	18008
178	3927	18012
179	3957	18026
180	3972	17973
181	3993	17947
182	4006	17885
183	4033	17887
184	4046	17824
185	4062	17776
186	4136	17985
187	4156	17953
188	4168	17886
189	4178	17814
190	4193	17763
191	4252	17897
192	4277	17883
193	4299	17861
194	4319	17832
195	4347	17834
196	4371	17817
197	4388	17774
198	4399	17708
199	4414	17659
200	4431	17616
201	4445	17559
202	4474	17565
203	4499	17555
204	4512	17499
205	4539	17496
206	4577	17534
207	4601	17522
208	4619	17483
209	4629	17415
210	4655	17409
211	4672	17366
212	4693	17341
