iter	Logloss
0	0.6567931488
1	0.6245937798
2	0.5973051777
3	0.5756784674
4	0.5594047486
5	0.5432415659
6	0.529486108
7	0.5177950721
8	0.5065018862
9	0.4964586393
10	0.4882161298
11	0.4810550319
12	0.4739360659
13	0.468732138
14	0.4626790845
15	0.4586340236
16	0.4540074466
17	0.4501394838
18	0.4465952395
19	0.442774655
20	0.4405387017
21	0.4370117588
22	0.4344918959
23	0.4317771131
24	0.429133658
25	0.4269804867
26	0.4252056612
27	0.4228979797
28	0.4209112533
29	0.4186383745
30	0.4167916205
31	0.414769851
32	0.4132516215
33	0.411401223
34	0.4100228057
35	0.4083477431
36	0.4064038695
37	0.4052401966
38	0.4038230115
39	0.4023731061
40	0.4008053757
41	0.3988896968
42	0.3973465567
43	0.3956562353
44	0.3940170168
45	0.3927822964
46	0.3910490421
47	0.3898427568
48	0.3883192808
49	0.3872802414
50	0.3858413496
51	0.3846857667
52	0.3833673833
53	0.3820220066
54	0.3811006321
55	0.3794198825
56	0.3781301744
57	0.3769968188
58	0.3756874064
59	0.3747136874
60	0.3734538161
61	0.3727427405
62	0.3713827459
63	0.3705029025
64	0.3694003048
65	0.3687775379
66	0.3675156641
67	0.3665620899
68	0.3657195725
69	0.3647753298
70	0.3634008373
71	0.3623519457
72	0.3611211902
73	0.3598075326
74	0.3587214352
75	0.3574220752
76	0.3559886702
77	0.3551351793
78	0.3540413123
79	0.3527071094
80	0.3517148476
81	0.3509581158
82	0.3497849512
83	0.3489357055
84	0.347796743
85	0.34653551
86	0.34513871
87	0.3445264361
88	0.3438152003
89	0.3423949715
90	0.3414166468
91	0.3400878906
92	0.3386025817
93	0.3372658557
94	0.3355123565
95	0.3339907228
96	0.3329116741
97	0.3319068568
98	0.3308765281
99	0.3295890027
100	0.3282917053
101	0.3271626951
102	0.3261725558
103	0.3250622687
104	0.3239742089
105	0.3227714479
106	0.3216223729
107	0.320077791
108	0.3187669369
109	0.3177463201
110	0.3165364703
111	0.3153436215
112	0.3141828722
113	0.3127435799
114	0.3115849132
115	0.3101311631
116	0.3088198885
117	0.3076770612
118	0.3064791862
119	0.3050650649
120	0.3039031342
121	0.3029477377
122	0.3018048704
123	0.3003306952
124	0.2990857622
125	0.2980594985
126	0.2965353017
127	0.2953667828
128	0.2943296257
129	0.2930548961
130	0.292236248
131	0.2911269621
132	0.2897575759
133	0.288530545
134	0.2876055259
135	0.286320023
136	0.2855549009
137	0.284459472
138	0.2833621809
139	0.2823226408
140	0.2809807084
141	0.2796654288
142	0.2786234858
143	0.2774862254
144	0.2767473356
145	0.2756785996
146	0.274392556
147	0.2734189972
148	0.2726223963
149	0.2710290543
150	0.2702728031
151	0.2694136652
152	0.2682251017
153	0.2670633111
154	0.2662212542
155	0.2651482129
156	0.2643953258
157	0.2632686385
158	0.2619905847
159	0.2610828269
160	0.2603122982
161	0.2593471697
162	0.2584006042
163	0.2576059657
164	0.2566363317
165	0.2555499139
166	0.2543300318
167	0.2533614191
168	0.2523814524
169	0.2512767321
170	0.2503523138
171	0.2493709054
172	0.2486189795
173	0.2478345936
174	0.246921329
175	0.2459400407
176	0.2449674832
177	0.2438468032
178	0.2429561665
179	0.2421884211
180	0.2410493385
181	0.2402568427
182	0.2392994237
183	0.238258502
184	0.2376097832
185	0.2367769977
186	0.2360736116
187	0.2350516332
188	0.2343727773
189	0.2334360438
190	0.2326906259
191	0.2318388971
192	0.2311643065
193	0.2305463455
194	0.2298272401
195	0.2289030821
196	0.2281495142
197	0.2274262636
198	0.2265356069
199	0.2256260669
200	0.2249442273
201	0.2242788881
202	0.2235976092
203	0.2226222882
204	0.2218088866
205	0.2210124659
206	0.2202562347
207	0.2195311619
208	0.2188939973
209	0.2182102153
210	0.2177777028
211	0.2172467089
212	0.2163994656
213	0.2155286734
214	0.2146964486
215	0.2136841221
216	0.2129995591
217	0.2123282125
218	0.2114981904
219	0.2109562831
220	0.2101891785
221	0.2097097482
222	0.2088766023
223	0.20807077
224	0.2072255693
225	0.2064664746
226	0.2055793822
227	0.2048468402
228	0.2040302347
229	0.2032139896
230	0.2023837473
231	0.201750067
232	0.2009121552
233	0.2001979558
234	0.1995751489
235	0.1987996339
236	0.1981869194
237	0.1974247009
238	0.196730426
239	0.1959309415
240	0.1953767792
241	0.1944550442
242	0.193991193
243	0.1934043704
244	0.1927333241
245	0.1918980356
246	0.1911716011
247	0.190280704
248	0.1894616155
249	0.188898482
250	0.1881222462
251	0.1873386413
252	0.1865117431
253	0.1858638253
254	0.1853244812
255	0.1847611875
256	0.1840793479
257	0.1835662962
258	0.1828183953
259	0.182082449
260	0.1813575364
261	0.180625495
262	0.1799737325
263	0.1792561689
264	0.1788474256
265	0.1779565486
266	0.1773552281
267	0.1767178433
268	0.1761112564
269	0.175625358
270	0.1750149064
271	0.1744290249
272	0.173815129
273	0.1734432911
274	0.1727655366
275	0.1722747122
276	0.1717111382
277	0.171049083
278	0.1703929551
279	0.1699022909
280	0.1691921765
281	0.1686031312
282	0.1681428043
283	0.1675625899
