iter	Passed	Remaining
0	139	139261
1	145	72498
2	166	55196
3	172	42829
4	177	35369
5	184	30539
6	190	26991
7	196	24306
8	201	22238
9	207	20567
10	213	19235
11	220	18116
12	226	17178
13	231	16327
14	237	15607
15	243	15001
16	249	14447
17	255	13932
18	261	13497
19	267	13093
20	272	12721
21	278	12387
22	284	12087
23	290	11818
24	296	11552
25	301	11303
26	307	11081
27	313	10875
28	318	10680
29	324	10502
30	330	10333
31	336	10179
32	342	10033
33	348	9898
34	354	9772
35	359	9638
36	366	9535
37	372	9431
38	379	9350
39	386	9270
40	392	9177
41	399	9107
42	405	9029
43	413	8976
44	419	8910
45	427	8868
46	435	8825
47	443	8789
48	450	8742
49	458	8706
50	464	8647
51	471	8595
52	477	8538
53	484	8481
54	490	8429
55	497	8379
56	503	8332
57	510	8286
58	517	8248
59	523	8200
60	530	8164
61	536	8117
62	542	8075
63	549	8043
64	556	8006
65	562	7966
66	569	7929
67	575	7890
68	582	7864
69	589	7830
70	595	7798
71	602	7760
72	608	7731
73	615	7703
74	622	7673
75	629	7648
76	635	7614
77	641	7585
78	647	7553
79	654	7530
80	660	7497
81	666	7463
82	673	7440
83	679	7413
84	686	7388
85	691	7353
86	697	7324
87	703	7295
88	709	7265
89	716	7241
90	722	7212
91	728	7190
92	734	7165
93	740	7135
94	746	7110
95	752	7085
96	758	7057
97	764	7032
98	769	7005
99	775	6976
100	781	6952
101	786	6926
102	792	6900
103	797	6874
104	803	6847
105	809	6824
106	814	6801
107	821	6780
108	827	6763
109	832	6739
110	838	6717
111	844	6692
112	849	6668
113	855	6650
114	861	6626
115	866	6605
116	872	6585
117	878	6564
118	884	6544
119	889	6525
120	895	6503
121	901	6485
122	906	6464
123	912	6448
124	918	6429
125	924	6409
126	930	6394
127	936	6380
128	943	6370
129	949	6355
130	955	6335
131	961	6319
132	966	6301
133	972	6283
134	978	6268
135	984	6252
136	989	6235
137	995	6219
138	1001	6201
139	1006	6185
140	1012	6171
141	1018	6156
142	1026	6149
143	1033	6142
144	1039	6131
145	1045	6117
146	1051	6103
147	1058	6092
148	1063	6074
149	1070	6066
150	1076	6051
151	1085	6058
152	1092	6045
153	1097	6030
154	1103	6017
155	1109	6002
156	1115	5987
157	1120	5972
158	1126	5959
159	1132	5946
160	1138	5931
161	1143	5917
162	1149	5904
163	1155	5891
164	1161	5877
165	1167	5866
166	1173	5851
167	1179	5840
168	1185	5828
169	1191	5815
170	1197	5804
171	1203	5793
172	1209	5781
173	1215	5768
174	1220	5755
175	1226	5743
176	1232	5730
177	1238	5719
178	1244	5708
179	1250	5695
180	1256	5686
181	1262	5672
182	1267	5659
183	1273	5647
184	1279	5635
185	1284	5622
186	1290	5609
187	1296	5598
188	1302	5588
189	1308	5576
190	1313	5563
191	1319	5551
192	1324	5537
193	1330	5527
194	1336	5516
195	1342	5507
196	1349	5502
197	1356	5493
198	1362	5483
199	1368	5474
