iter	MultiClass
0	1.234530608
1	1.117821394
2	1.02617966
3	0.9479005513
4	0.8839234519
5	0.832511037
6	0.7875133479
7	0.7458438347
8	0.7108132911
9	0.6793860222
10	0.6520221406
11	0.6269403328
12	0.6051777233
13	0.5857282004
14	0.5691701614
15	0.5530785978
16	0.5384289663
17	0.5260643894
18	0.5134797716
19	0.5017687681
20	0.491755617
21	0.4828798252
22	0.4740340419
23	0.4667855316
24	0.4588360196
25	0.4520981576
26	0.4461872411
27	0.4406096542
28	0.4348580456
29	0.4291340792
30	0.4243221525
31	0.4193409485
32	0.4150458076
33	0.4113201651
34	0.4076785109
35	0.4042338114
36	0.4003963685
37	0.3974034783
38	0.3947361656
39	0.391727664
40	0.3893096346
41	0.3869181112
42	0.3839852275
43	0.3818316843
44	0.3793594453
45	0.3770785901
46	0.375034713
47	0.373508691
48	0.3717560972
49	0.3697465729
50	0.3679626596
51	0.3662267344
52	0.3642922106
53	0.3629435241
54	0.3612308131
55	0.3598052312
56	0.3582724838
57	0.3568556712
58	0.35520233
59	0.3536581866
60	0.3521810692
61	0.3507612659
62	0.3490296754
63	0.3475457836
64	0.3463607192
65	0.3449034719
66	0.3433421435
67	0.3419151845
68	0.3408253294
69	0.3395342096
70	0.3381978259
71	0.3368755881
72	0.3356865113
73	0.3347205308
74	0.333671947
75	0.3321189119
76	0.3314039674
77	0.3305461836
78	0.3295153469
79	0.3289516262
80	0.3278818821
81	0.3268178649
82	0.3259241556
83	0.324865508
84	0.3237874324
85	0.32314397
86	0.3222285056
87	0.3210234641
88	0.3197829927
89	0.3187022837
90	0.3177131618
91	0.3165587926
92	0.3159381582
93	0.3147689004
94	0.3137074765
95	0.312861192
96	0.3117086632
97	0.3109532167
98	0.309790752
99	0.3087422603
100	0.3078751248
101	0.3073913326
102	0.3061223105
103	0.3052809706
104	0.3045234461
105	0.3036694168
106	0.3027729896
107	0.3017256346
108	0.3007021772
109	0.2995437013
110	0.2986504518
111	0.2976808082
112	0.2969226542
113	0.2959263353
114	0.2950598072
115	0.2942471751
116	0.2932203761
117	0.29247918
118	0.291749703
119	0.2907259229
120	0.2901992939
121	0.2892087157
122	0.288216223
123	0.2874725236
124	0.2869119211
125	0.2861464073
126	0.2852403027
127	0.2847445407
128	0.2836601313
129	0.2829078259
130	0.2815483769
131	0.2807626088
132	0.2800108395
133	0.2789648744
134	0.2782475754
135	0.2772866284
136	0.2765183542
137	0.2758891407
138	0.2752740701
139	0.2746292208
140	0.2740976545
141	0.2733607333
142	0.2723998306
143	0.2716089918
144	0.2707408912
145	0.2701731487
146	0.2697039266
147	0.2687954641
148	0.2680113921
149	0.2672013335
150	0.2667969469
151	0.2658879501
152	0.2651342241
153	0.2646045799
154	0.2635878135
155	0.2629151976
156	0.2619760196
157	0.261194224
158	0.2604974007
159	0.2599477271
160	0.2589749487
161	0.2583120393
